institute_▲▼,opening_rank_▲▼,closing_rank_▲▼,category_▲▼,round_▲▼,program_▲▼,stream_▲▼,seat_type_▲▼,quota_▲▼
Jadavpur University,1135,1272,Tuition Fee Waiver,Round 1,Production Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
West Bengal University of Animal & Fishery Sciences,4082,13447,Open,Round 1,Dairy Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
West Bengal University of Animal & Fishery Sciences,49974,65592,ST,Round 1,Dairy Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
West Bengal University of Animal & Fishery Sciences,13537,14211,OBC - B,Round 1,Dairy Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Narula Institute of Technology, Agarpara, Kolkata",1748,46216,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Pailan College of Management & Technology, Pailan Park",336833,336833,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Cooch Behar Government Engineering College, Cooch Behar",9578,9962,OBC - B,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",2238,3477,EWS,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Abacus Institute of Engineering & Management, Mogra, Hooghly",14859,106001,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"B.P. Poddar Institute of Management & Technology, Kolkata",188767,331956,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Bengal College of Engineering & Technology, Durgapur",16909,105340,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Budge Budge Institute of Technology, Budge-Budge",30162,102034,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",580072,642475,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Mckv Institute of Engineering, Liluah, Howrah",79405,79405,EWS,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Rcc Institute of Information Technology, Kolkata",3876,56163,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Cooch Behar Government Engineering College, Cooch Behar",10747,13882,EWS,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",6055,8279,SC,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Asansol Engineering College, Asansol, Burdwan",75000,95173,EWS,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Bankura Unnayani Institute of Engineering, Bankura",30815,88211,Open,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Dr. B. C. Roy Engineering College, Durgapur",84616,91260,EWS,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Guru Nanak Institute of Technology, Panihati, Sodepur",178180,451619,Open,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Guru Nanak Institute of Technology, Panihati, Sodepur",58253,58867,SC,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jis College of Engineering, Kalyani, Nadia",73444,89238,SC,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Netaji Subhas Engineering College, Garia, Kolkata",14475,20707,Open,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Siliguri Institute of Technology, Siliguri",436100,624723,Open,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Govt. College of Engineering & Ceramic Technology, Kolkata",3154,4477,Open,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Future Institute of Engineering & Management, Sonarpur",33558,71039,Open,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Seacom Engineering College, Sankrail, Howrah",48994,48994,SC,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Techno International New Town, Rajarhat, New Town",24901,83431,Open,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Swami Vivekananda Institute of Science & Technology, Sonarpur",1159058,1159058,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
Jadavpur University,1492,2420,OBC - B,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,1971,2049,EWS,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Abacus Institute of Engineering & Management, Mogra, Hooghly",76113,77808,SC,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Asansol Engineering College, Asansol, Burdwan",23801,89280,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Techno Main Salt Lake, Sector-V, Salt Lake",185362,303227,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
Jadavpur University,71563,71563,OBC - A (PwD),Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",21819,32622,SC,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Cooch Behar Government Engineering College, Cooch Behar",89703,89703,Open (PwD),Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Cooch Behar Government Engineering College, Cooch Behar",49292,61858,ST,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Abacus Institute of Engineering & Management, Mogra, Hooghly",224075,280206,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Asansol Engineering College, Asansol, Burdwan",110311,196786,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Bengal College of Engineering & Technology, Durgapur",20033,110373,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Dr. B. C. Roy Engineering College, Durgapur",19821,27811,Tuition Fee Waiver,Round 1,Computer Science And Design - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Aliah University, New Town",8625,14569,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"FACULTY OF TECHNOLOGY, UTTAR BANGA KRISHI VISWAVIDYALAYA",8036,11198,Tuition Fee Waiver,Round 1,Agricultural Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia",4643,4643,Tuition Fee Waiver,Round 1,Agricultural Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,2841,3608,OBC - A,Round 1,Power Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,378,592,Open,Round 1,Power Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
Jadavpur University,1164,1349,OBC - B,Round 1,Power Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,648,1073,Open,Round 1,Power Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,1326,1796,EWS,Round 1,Power Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,42189,42189,Open (PwD),Round 1,Power Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,3989,6040,SC,Round 1,Power Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,26856,35790,ST,Round 1,Power Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
University Of Calcutta,7212,8520,OBC - B,Round 1,Jute & Fibre Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
University Of Calcutta,85324,95829,ST,Round 1,Jute & Fibre Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Academy of Technology, Adisaptagram, Hooghly",12113,15484,Tuition Fee Waiver,Round 1,Electrical & Electronics Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"College of Engineering and Management, Kolaghat",8830,21339,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Heritage Institute of Technology, Kolkata",966,2578,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Seacom Engineering College, Sankrail, Howrah",32835,35401,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",3616,4206,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Future Institute of Technology, Boral, Garia",17351,22257,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Durgapur Institute of Advanced Technology & Management, Durgapur",18119,30821,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ideal Institute of Engineering, Kalyani",24332,37805,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Cooch Behar Government Engineering College, Cooch Behar",3521,5158,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Murshidabad College of Engineering & Technology, Murshidabad",15353,35053,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Regent Education and Research Foundation, Barasat, Kolkata",21728,29757,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Swami Vivekananda Institute of Science & Technology, Sonarpur",18233,27163,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",58615,109580,Open,Round 1,Automobile Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",487057,1060449,Open,Round 1,Automobile Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Mckv Institute of Engineering, Liluah, Howrah",24280,92318,Open,Round 1,Automobile Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Heritage Institute of Technology, Kolkata",6193,10582,Tuition Fee Waiver,Round 1,Biotechnology (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Techno India University, Salt Lake",11846,11846,Tuition Fee Waiver,Round 1,Biotechnology (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Haldia Institute of Technology, Haldia, Purba Medinipur",7266,14188,Tuition Fee Waiver,Round 1,Biotechnology (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Om Dayal Group of Institutions, Uluberia, Howrah",10714,73552,Open,Round 1,Architecture,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Om Dayal Group of Institutions, Uluberia, Howrah",2043,5779,Open,Round 1,Architecture,B. Arch (JEE(Main) Seats),JEE(Main) Seats,All India
"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",35344,57041,Open,Round 1,Architecture,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Swami Vivekananda Institute of Science & Technology, Sonarpur",30422,34465,Tuition Fee Waiver,Round 1,Artificial Intelligence And Data Science (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Meghnad Saha Institute of Technology, Kolkata",9268,13811,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Techno India University, Salt Lake",81426,95227,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
University Of Calcutta,1334,1918,Open,Round 1,Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",1667,6354,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Dr. B. C. Roy Engineering College, Durgapur",159500,274291,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Future Institute of Technology, Boral, Garia",35095,110673,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Dr. B. C. Roy Engineering College, Durgapur",14231,51829,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
University Of Calcutta,1208,1436,OBC - B,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Heritage Institute of Technology, Kolkata",9201,11996,EWS,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Heritage Institute of Technology, Kolkata",34974,34974,ST,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jis College of Engineering, Kalyani, Nadia",1390,51299,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Jis College of Engineering, Kalyani, Nadia",57272,61723,SC,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Seacom Engineering College, Sankrail, Howrah",47779,89058,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,4194,6462,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Guru Nanak Institute of Technology, Panihati, Sodepur",4220,383163,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Cooch Behar Government Engineering College, Cooch Behar",6613,9316,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",2478,2523,OBC - B,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",14430,16558,OBC - A,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",8713,9317,OBC - B,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"College of Engineering and Management, Kolaghat",11910,109528,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Mckv Institute of Engineering, Liluah, Howrah",133675,234094,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Siliguri Institute of Technology, Siliguri",32283,97101,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Cooch Behar Government Engineering College, Cooch Behar",14145,18688,OBC - A,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"B.P. Poddar Institute of Management & Technology, Kolkata",73823,73823,EWS,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Future Institute of Engineering & Management, Sonarpur",22680,110572,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Netaji Subhas Engineering College, Garia, Kolkata",6838,34808,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Nshm Knowledge Campus, Durgapur Group of Institutions",100157,100157,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia",6092,7019,OBC - B,Round 1,Agricultural Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"FACULTY OF TECHNOLOGY, UTTAR BANGA KRISHI VISWAVIDYALAYA",14637,18952,EWS,Round 1,Agricultural Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"FACULTY OF TECHNOLOGY, UTTAR BANGA KRISHI VISWAVIDYALAYA",77875,77875,Open (PwD),Round 1,Agricultural Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia",2434,5951,Open,Round 1,Agricultural Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
